# Copyright (C) 2025  Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus Prime License Agreement,
# the Altera IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Altera and sold by Altera or its authorized distributors.  Please
# refer to the Altera Software License Subscription Agreements 
# on the Quartus Prime software download page.

# Quartus Prime Version 25.1std.0 Build 1129 10/21/2025 SC Lite Edition
# File: /home/d/Desktop/Syncthing/Bht-Shaggy/Sem5/EDS/lab03/Quartus/output_files/lab03-DE115.csv
# Generated on: Wed Jun  3 12:59:16 2026

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
aud_bclk_top,Output,PIN_F2,1,B1_N1,PIN_F2,2.5 V,,,,,
aud_dacdat_top,Output,PIN_D1,1,B1_N0,PIN_D1,2.5 V,,,,,
aud_daclrck_top,Output,PIN_E3,1,B1_N0,PIN_E3,2.5 V,,,,,
aud_xck_top,Output,PIN_E1,1,B1_N0,PIN_E1,2.5 V,,,,,
clock_50_top,Input,PIN_Y2,2,B2_N0,PIN_Y2,2.5 V,,,,,
i2c_sclk_top,Output,PIN_B7,8,B8_N1,PIN_B7,2.5 V,,,,,
i2c_sdat_top,Output,PIN_A8,8,B8_N1,PIN_A8,2.5 V,,,,,
keys_top[3],Input,PIN_R24,5,B5_N0,PIN_R24,2.5 V,,,,,
keys_top[2],Input,PIN_N21,6,B6_N2,PIN_N21,2.5 V,,,,,
keys_top[1],Input,PIN_M21,6,B6_N1,PIN_M21,2.5 V,,,,,
keys_top[0],Input,PIN_M23,6,B6_N2,PIN_M23,2.5 V,,,,,
leds_top[3],Output,PIN_F21,7,B7_N0,PIN_F21,2.5 V,,,,,
leds_top[2],Output,PIN_E19,7,B7_N0,PIN_E19,2.5 V,,,,,
leds_top[1],Output,PIN_F19,7,B7_N0,PIN_F19,2.5 V,,,,,
leds_top[0],Output,PIN_G19,7,B7_N2,PIN_G19,2.5 V,,,,,
rst_top,Input,PIN_AB28,5,B5_N1,PIN_AB28,2.5 V,,,,,
