Marke,Modell,Grundpreis,Leistung_kW,Hubraum,Leergewicht,Verbrauch_kombi,Tueranzahl,Fahrzeugklasse
Bugatti,Chiron,2856000,1103,7993,2070,22.5,2,6
Koenigsegg,Agera RS,2112275,865,5032,1395,14.7,2,6
Lamborghini,Centenario LP770-4,2082500,566,6498,1520,16,2,6
Lamborghini,Centenario Roadster LP770-4,2082500,566,6498,1570,16,2,6
smart,forfour BRABUS,21225,80,898,1095,4.6,5,1
Abarth,595C,21090,107,1368,1150,6.5,2,1
Abarth,595,18490,107,1368,1110,6,3,1
VW,up! GTI,16975,85,999,1070,4.8,3,1
Opel,ADAM ROCKS 1.2,15780,51,1229,1086,5.3,3,1
Fiat,500C 1.2 8V,15190,51,1242,980,4.9,2,1
VW,cross up! 1.0 BMT,14500,55,999,1009,4.3,5,1
Fiat,Panda Cross 1.2 8V,13490,51,1242,1015,5.1,5,1
Opel,KARL ROCKS 1.0,12800,55,999,939,4.7,5,1
Peugeot,108 Top! 1.0 VTi 68,12600,51,998,915,4.1,3,1
Fiat,500 1.2 8V,12590,51,1242,940,4.9,3,1
Suzuki,Ignis 1.2,12540,66,1242,885,4.6,5,1
Citroen,C1 Airscape VTi 68,12400,51,998,915,4.1,3,1
Opel,ADAM 1.2,12135,51,1229,1086,5.3,3,1
smart,forfour 1.0,11765,52,999,975,4.2,5,1
Hyundai,i10 1.0,9990,49,998,1008,4.7,5,1
KIA,Picanto 1.0,9990,49,998,935,4.4,5,1
Peugeot,108 1.0 VT 68,9990,51,998,915,4.1,3,1
VW,up! 1.0,9975,44,999,926,4.4,3,1
Toyota,Aygo 1.0,9950,51,998,915,4.1,3,1
Fiat,Panda 1.2 8V,9850,51,1242,1015,5.1,5,1
Skoda,Citigo 1.0,9770,44,999,929,4.4,3,1
Renault,Twingo SCe 70,9750,51,999,939,5,5,1
Suzuki,Celerio 1.0,9690,50,998,880,4.3,5,1
Opel,KARL 1.0,9560,55,999,939,4.5,5,1
Citroen,C1 VTi 68,9090,51,998,915,4.1,3,1
SEAT,Mii 1.0,8990,44,999,929,4.4,3,1
MINI,John Cooper Works Cabrio,34300,170,1998,1385,6.5,2,2
Nissan,Juke Nismo RS,31915,157,1618,1469,7.3,5,2
Audi,S1 Sportback,31300,170,1984,1415,7.1,5,2
Toyota,Yaris GRMN,30800,156,1798,1135,7.5,5,2
MINI,John Cooper Works,30700,170,1998,1280,6.3,3,2
Audi,S1,30450,170,1984,1390,7,3,2
DS Automobiles,DS 3 Performance,26990,153,1598,1250,5.4,3,2
Opel,Corsa OPC,24930,152,1598,1293,7.5,3,2
Peugeot,208.,23990,153,1598,1235,5.4,3,2
VW,Polo GTI,23950,147,1984,1355,5.9,5,2
Renault,Clio R.S.,23390,147,1618,1279,5.9,5,2
MINI,One Cabrio,22500,75,1198,1280,5,2,2
Honda,HR-V 1.5 i-VTEC,20690,96,1498,1312,5.6,5,2
DS Automobiles,DS 3 Cabrio PureTech 82,19940,60,1199,1110,4.9,2,2
Jeep,Renegade 1.6 E-torQ,19900,81,1598,1395,6,5,2
Opel,Mokka X 1.6 Start&Stop,18990,85,1598,1355,6.7,5,2
Ford,EcoSport 1.0 EcoBoost,18590,92,998,1337,5.2,5,2
Citroen,C3 Picasso VTi 95,18190,70,1397,1276,5.9,5,2
Hyundai,i20 Coupee 1.0 T-GDI,18100,88,998,1145,4.8,3,2
Ford,EcoSport 1.5 Ti-VCT,17990,82,1498,1314,6.3,5,2
Mazda,CX-3 SKYACTIV-G 120,17990,88,1998,1230,5.9,5,2
Suzuki,Vitara 1.6,17990,88,1586,1150,5.3,5,2
Peugeot,2008 PureTech 82,17550,60,1199,1120,4.9,5,2
Hyundai,Kona 1.0 T-GDI,17500,88,998,1233,5.2,5,2
MINI,One First,17350,55,1198,1225,5.2,5,2
Hyundai,i20 Active 1.0 T-GDI blue,17300,74,998,1160,4.5,5,2
KIA,Soul 1.6 GDI,17240,97,1591,1275,6.5,5,2
Audi,A1 Sportback 1.0 TFSI ultra,17100,60,999,1135,4.2,5,2
Fiat,500L 1.4 16V,16990,70,1368,1330,6.2,5,2
Fiat,500L Wagon 1.4 16V,16990,70,1368,1350,6.1,5,2
Opel,Crossland X 1.2,16990,60,1199,1136,5.2,5,2
Ford,B-MAX 1.4,16800,66,1388,1275,6,5,2
Honda,Jazz 1.3 i-VTEC,16640,75,1318,1138,5,5,2
Fiat,500L Urban 1.4 16V,16490,70,1368,1320,6.1,5,2
MINI,One First,16400,55,1198,1165,5.1,3,2
Fiat,500X 1.6 E-torQ,16290,81,1598,1350,6.4,5,2
Audi,A1 1.0 TFSI ultra,16250,60,999,1110,4.2,3,2
DS Automobiles,DS 3 PureTech 82,15990,60,1199,1049,4.6,3,2
Nissan,Juke 1.6,15990,69,1598,1163,6,5,2
SEAT,Arona 1.0 EcoTSI,15990,70,999,1165,4.9,5,2
SsangYong,Tivoli 1.6 e-XGi 160,15990,94,1597,1270,6.6,5,2
Renault,Captur ENERGY TCe 90,15890,66,898,1259,5.1,5,2
Hyundai,ix20 1.4 blue,15790,66,1396,1253,5.6,5,2
KIA,Stonic 1.2,15790,62,1248,1145,5.2,5,2
Alfa Romeo,MiTo 1.4 8V,15700,57,1368,1155,5.6,3,2
Suzuki,Jimny 1.3,15590,62,1328,1135,7.1,3,2
Citroen,C3 Aircross PureTech 82,15290,60,1199,1163,5.1,5,2
Ford,Tourneo Courier 1.0 EcoBoost,15260,74,998,1260,5.3,5,2
Ford,Transit Courier Kombi 1.0 EcoBoost,15220,74,998,1260,5.3,4,2
Fiat,Fiorino Kombi 1.4 8V,15161,57,1368,1255,6.9,4,2
KIA,Venga 1.4,14890,66,1396,1253,6,5,2
Citroen,C4 Cactus PureTech 75,13990,55,1199,1040,4.6,5,2
Suzuki,Swift 1.2 Dualjet,13790,66,1242,915,4.3,5,2
Suzuki,Baleno 1.2 Dualjet,13790,66,1242,940,4.2,5,2
Skoda,Fabia Combi 1.0 MPI,13450,55,999,1104,4.8,5,2
Nissan,Micra 1.0,12990,52,998,977,4.6,5,2
Renault,Clio Grandtour 1.2 16V 75,12990,54,1149,1141,5.6,5,2
VW,Polo 1.0 MPI,12975,48,999,1105,4.7,5,2
Ford,Fiesta 1.1,12950,51,1084,1108,4.7,3,2
Mazda,2 SKYACTIV-G 75,12890,55,1496,1045,4.7,5,2
Fiat,Punto 1.2 8V,12790,51,1242,1105,5.4,5,2
Peugeot,208 1.2 PureTech 68,12750,50,1199,1035,4.7,3,2
Toyota,Yaris 1.0,12540,51,998,1055,4.3,3,2
Fiat,Qubo 1.4 8V,12490,57,1368,1255,6.9,5,2
SEAT,Ibiza 1.0 MPI,12490,48,999,1091,4.9,5,2
Skoda,Fabia 1.0 MPI,12150,44,999,1080,4.8,5,2
Opel,Corsa 1.2,12135,51,1229,1120,5.4,3,2
Hyundai,i20 1.2,12015,55,1248,1055,5.1,5,2
Citroen,C3 PureTech 68,11990,50,1199,1051,4.7,5,2
Renault,Clio 1.2 16V 75,11990,54,1149,1134,5.6,5,2
KIA,Rio 1.2,11690,62,1248,1110,4.8,5,2
Lada,Kalina Cross 1.6 8V,10200,64,1596,1110,6.6,5,2
Dacia,Sandero Stepway TCe 90 Start&Stop,9990,66,898,1115,5.1,5,2
Ford,Ka+ 1.2 Ti-VCT,9990,51,1198,1055,5,5,2
Mitsubishi,Space Star 1.0,9290,52,999,920,4.2,5,2
Lada,Kalina Kombi 1.6 8V,8260,64,1596,1110,6.6,5,2
Lada,Kalina 1.6 8V,7460,64,1596,1080,6.6,5,2
Dacia,Sandero SCe 75,6990,54,998,1044,5.2,5,2
smart,fortwo cabrio BRABUS,23675,80,898,1040,4.6,2,1
smart,fortwo Coupee BRABUS,20415,80,898,995,4.5,3,1
smart,fortwo cabrio 1.0,14365,52,999,940,4.3,2,1
smart,fortwo Coupee 1.0,11105,52,999,890,4.1,3,1
Morgan,Aero Supersports 4.8 V8,168000,270,4799,1220,11.2,2,4
BMW,M3 CS,117600,338,2979,1660,8.3,4,4
BMW,M4 CS Coupee,116900,338,2979,1655,8.4,2,4
Lotus,Evora 400,96000,298,3456,1415,9.7,2,4
Alfa Romeo,Stelvio Quadrifoglio,89000,375,2891,1905,9,5,4
Porsche,Macan Turbo,84586,294,3604,2000,9,5,4
BMW,M4 Cabrio,84500,317,2979,1825,9.1,2,4
BMW Alpina,B4 S Bi-Turbo Cabrio,81400,324,2979,1915,8.3,2,4
Audi,RS5 Coupee,80900,331,2894,1730,8.7,2,4
Audi,RS4 Avant,79800,331,2894,1790,8.8,5,4
BMW,M4 Coupee,78200,317,2979,1572,8.8,2,4
BMW,M3,77500,317,2979,1595,8.8,4,4
Lexus,RC F,75900,351,4969,1840,10.8,3,4
BMW Alpina,B4 S Bi-Turbo Coupee,75300,324,2979,1690,7.9,2,4
Lotus,Exige Coupee,75200,258,3456,1110,10.1,2,4
Lotus,Exige Roadster,75200,258,3456,1110,10.1,2,4
Porsche,Macan GTS,74828,265,2997,1970,8.9,5,4
BMW Alpina,B3 S Bi-Turbo Touring,74700,324,2979,1780,8.1,5,4
BMW Alpina,B3 S Bi-Turbo,72900,324,2979,1705,7.9,4,4
Alfa Romeo,Giulia Quadrifoglio,72800,375,2891,1670,8.5,4,4
Cadillac,ATS-V Coupee,72500,346,3564,1775,11.4,3,4
Alfa Romeo,4C Spider,72000,177,1742,1015,6.9,2,4
Cadillac,ATS-V,69900,346,3564,1775,11.6,4,4
Audi,TT RS Roadster,69200,294,2480,1605,8.3,2,4
Mercedes,C 43 AMG Cabriolet,68455,270,2996,1870,8.3,2,4
Audi,S5 Cabriolet,68050,260,2995,1915,7.9,2,4
Morgan,Roadster 3.7 V6,68000,209,3721,950,9.8,2,4
Audi,TT RS Coupee,66400,294,2480,1515,8.2,3,4
Mercedes,GLC Coupee 43 AMG,65807,270,2996,1855,8.4,5,4
Audi,SQ5 TFSI,65400,260,2995,1945,8.3,5,4
Alfa Romeo,4C,63500,177,1742,970,6.8,2,4
Audi,S5 Sportback,62750,260,2995,1735,7.5,5,4
Audi,S5 Coupee,62750,260,2995,1690,7.5,2,4
Mercedes,GLC 43 AMG,62178,270,2996,1845,8.3,5,4
Audi,S4 Avant,61900,260,2995,1750,7.7,5,4
Mercedes,C 43 AMG T-Modell,61850,270,2996,1735,7.9,5,4
Mercedes,C 43 AMG Coupee,61761,270,2996,1735,7.8,2,4
Mercedes,C 43 AMG,60184,270,2996,1690,7.8,4,4
Audi,S4,60050,260,2995,1705,7.5,4,4
Mercedes,SLC 43 AMG,60036,270,2996,1595,7.8,2,4
