Grundpreis,Leistung_kW,Fahrzeugklasse
2856000,1103,6
2112275,865,6
2082500,566,6
2082500,566,6
21225,80,1
21090,107,1
18490,107,1
16975,85,1
15780,51,1
15190,51,1
14500,55,1
13490,51,1
12800,55,1
12600,51,1
12590,51,1
12540,66,1
12400,51,1
12135,51,1
11765,52,1
9990,49,1
9990,49,1
9990,51,1
9975,44,1
9950,51,1
9850,51,1
9770,44,1
9750,51,1
9690,50,1
9560,55,1
9090,51,1
8990,44,1
34300,170,2
31915,157,2
31300,170,2
30800,156,2
30700,170,2
30450,170,2
26990,153,2
24930,152,2
23990,153,2
23950,147,2
23390,147,2
22500,75,2
20690,96,2
19940,60,2
19900,81,2
18990,85,2
18590,92,2
18190,70,2
18100,88,2
17990,82,2
17990,88,2
17990,88,2
17550,60,2
17500,88,2
17350,55,2
17300,74,2
17240,97,2
17100,60,2
16990,70,2
16990,70,2
23675,80,1
20415,80,1
14365,52,1
168000,270,4
117600,338,4
116900,338,4
96000,298,4
89000,375,4
84586,294,4
84500,317,4
81400,324,4
80900,331,4
79800,331,4
78200,317,4
77500,317,4
75900,351,4
75300,324,4
75200,258,4
75200,258,4
74828,265,4
74700,324,4
72900,324,4
72800,375,4
72500,346,4
72000,177,4
69900,346,4
69200,294,4
68455,270,4
68050,260,4
68000,209,4
66400,294,4
65807,270,4
65400,260,4
184950,441,5
146400,423,5
139400,423,5
138850,404,5
132781,382,5
124200,423,5
122630,410,5
122200,445,5
120700,423,5
117900,441,5
116918,410,5
115300,447,5
112000,412,5
112000,447,5
102555,324,5
100500,351,5
99900,419,5
98900,477,5
85900,362,5
84600,331,5
82900,362,5
80150,331,5
78177,295,5
78160,269,5
77650,331,5
77469,270,5
76137,269,5
76000,257,5
75387,295,5
74828,250,5
749700,463,6
500000,475,6
446250,420,6
373262,544,6
357000,463,6
335055,544,6
329630,420,6
297191,377,6
291253,522,6
285898,465,6
285220,515,6
282934,588,6
277657,420,6
268995,424,6
264775,522,6
257457,463,6
253995,424,6
247350,527,6
236750,493,6
231693,310,6
226246,449,6
212653,493,6
208975,419,6
208488,447,6
204000,478,6
199000,375,6
62200,213,3
59500,272,3
57804,280,3
57209,280,3
56852,280,3
55900,294,3
55300,177,3
54600,294,3
51527,280,3
51150,228,3
45350,228,3
44500,221,3
43850,177,3
43250,228,3
42350,228,3
42350,183,3
41550,221,3
41450,228,3
41175,228,3
40675,257,3
40150,155,3
39900,100,3
39500,170,3
39200,141,3
36800,170,3
36360,206,3
36050,235,3
35930,221,3
35350,200,3
34730,221,3
